"id","code","name","mrp","quantity","amount",
"1","","MINI - CARS","185","1","185",
"6","","FUSE IN - S4","249","1","249",
"14","","GELWAX CANDLES - AQUARIA","299","1","299",
"15","","GLASS PAINTED CANDLE GOBLETS","399","1","399",
"17","","Balveer & The Evils Of Bhayankar Pari","549","1","249",
"18","","Foto Memo","399","2","724",
"19","","Joy Ride","399","1","185",
"20","","PANCHO","599","1","249",
"21","","CLAY N PLAY - CUT OUT MODELS","325","1","325",
"22","","WHAT'S YOURS LIKE?","499","1","185",
"23","","Eskimemo","599","3","2691",
"28","","Safarikiki","399","1","399",
"109","","ORIGAMI - IN THE JUNGLE","249","1","249",
"110","","FINGER PAINTING KIT","325","1","325",
"117","","CREATE A REAL CLOCK","299","4","1196",
"137","","MAKE A CANDLE STAND","185","1","185",
"138","","MAKE A PHOTOFRAME","185","1","185",
"139","","MOULD & PAINT - CARS","185","1","185",
"143","","MOULD & PAINT - MASKS","185","1","185",
"145","","FRUIT MAGNETS","185","1","185",
"153","","SAND ART","185","1","185",
"172","","HOBBY FAMILY","275","1","275",
"175","","PRETTY POTS","399","1","399",
"179","","TERRA TINKLES","299","1","299",
"191","","SIMPLE & SYMBOLIC SAND ART MADHUBANI","185","1","185",
"201","","DEMIN MADE DAINTY","399","1","399",
