"id","distributorname","code","componyname","email","contactno","dob","address1","address2","zipcode",
"1","BABA SALES","","","amitbhatia212@gmail.com","9136658787","","","","",
"2","Sk Enterprises","","","skenterprise.toys@gmail.com","8800377449","","","","",
"3","GABAS ENTERPRISES","","","santoshkkapoor@gmail.com","9810741899","","","","",
"4","S.M. ENTERPRISES","","","santoshkkapoor@gmail.com","9810322652","","","","",
"5","SHUBHI  TOYS","","","shubhi.toys@rediffmail.com","9811686462","","","","",
"6","SOUMYA INTERNATIONAL","","","soumyainternational2010@gmail.com","9810127655","","","","",
"7","THE KALASH ENTERPRISES","","","kalash48@yahoo.com","9810536009","","","","",
"8","A.S ENTERPRISES","","","in.asenterprises@gmail.com","9250621588","","","","",
"9","BANSAL","","","info.bansalbooks@gmail.com","9837262003","","","","",
"10","Kidz Stop n Shop","","","kidzstopnshop@gmail.com","98","","","","",
"11","CHOPRA TRADERS","","","chop_sons@yahoo.co.in","9855502776","","","","",
"12","CUTE AGENCIES PVT. LTD.","","","cutes.camp@gmail.com","9871309390","","","","",
"13","Shreejee","","","shriyamrastogi73@gmail.com","9919766849","","","","",
"14","SHRI RAM MARKETING","","","shrirammarketing@gmail.com","9814086470","","","","",
"15","SS Luxmi","","","ssluxmi@gmail.com","9736238140","","","","",
"16","SHIVA AGENCIES","","","shivagencies.toys@gmail.com","9897003994","","","","",
"17","VM'S CUTE","","","varanasi.toyjunction@rediffmail.com","9336911613","","","","",
"18","PUSHP CREATION","","","jnmt74@rediffmail.com","9412263414","","","","",
"19","queens international","","","queenint@rediffmail.com","9888109990","","","","",
"20","BANRAJ ENTERPRISES","33","Bijay","banrajent@gmail.com","9954286685","1969-12-31","Guwhati","Guwhati","377466",
"21","NORTH BENGAL BOOK HOUSE","","","northbengal.bookhouse@gmail.com","9832750978","","","","",
"22","RISHAV AGENCIES","","","riteshjain25@india.com","9835118304","","","","",
"23","ROYAL HOUSE","","","rtslg@rediffmail.com","9832335577","","","","",
"24","SUMIT MARKETING","","","sachin@venustoys4u.com","9830037112","","","","",
"25","UTSAV  DISTRIBUTORS","","","utsavdistributors@gmail.com","9835686553","","","","",
"26","ART 8","","","frazer.12@live.com","9863117252","","","","",
"27","KANGAROO FOOD'S","","","kangaroo_foods@yahoo.co.in","9861029001","","","","",
"28","R.D.MARKETING","","","sampatpiyush83@rediffmail.com","9830020568","","","","",
"29","EQUATOR TRADE HOUSE","","","ethchennai@yahoo.co.in","9444509742","","","","",
"30","LEO AGENCIES","","","leo.vnr@gmail.com","9843018600","","","","",
"31","Pragathi Marketing","","","pragathimarketing@yahoo.co.in","9900554005","","","","",
"32","AKSHITHA ENTERPRISES","","","kmohansingh@gmail.com","9885677756","","","","",
"33","GoodWill Enterprises","","","toygoodwill@gmail.com","9849944855","","","","",
"34","BHAVANI ASSOCIATES","","","bhaskar_mys_2003@yahoo.co.in","9663368424","","","","",
"35","RICHIE RICH PRODUCTS","","","richietoy@gmail.com","9241607003","","","","",
"36","MECOTEX CORPORATION","","","mecotex@hotmail.com","9850146201","","","","",
"37","NEW TOYS MARKETING","","","ntmirfan@gmail.com","9823025895","","","","",
"38","Om Novelties","","","mahesh.makreja@gmail.com","9823730126","","","","",
"39","SANTA MARIA TRADERS","","","patiljagruti181@gmail.com","9823068761","","","","",
"40","Vaishnavi agencies","","","potdwarvaishnavi@gmail.com","9225190090","","","","",
"41","VIP Collection","","","tidkeyogesh@yahoo.co.in","9422254514","","","","",
"42","Balaji Marketing","","","'ganesh.hawal73@gmail.com'","9823232624","","","","",
"43","BM International","","","'akjatkar@gmail.com.'","9673415210","","","","",
"44","ARIHANT ENTREPRISES","","","ajitgala05@yahoo.com","9773561234","","","","",
"45","V S International","","","vsintent@hotmail.com","9833516028","","","","",
"46","SANJARI ENTERPRISES","","","sanjarienterprises@hotmail.com","9820000353","","","","",
"47","SWAYAM ENTERPRISES","23","JAI BACHANI","jaibachani@yahoo.com","9820264909","1969-12-31","sdsdsf","sdsfsf","400016",
"48","Toyotoyz","","","toyotoyz@gmail.com","9820087783","","","","",
"49","CHAMUNDA GOGA SALES","","","cgsalesdistribution@gmail.com","8640078264","","","","",
"50","Parikh Enterprises","","","gunjan_parikh@hotmail.com","9825040494","","","","",
"51","Priya Agency","","","vrajesh5@yahoo.com","9427140471","","","","",
"52","RAJESH TRADERS","","","rajeshtraders1@yahoo.com","9827035270","","","","",
"53","SHIV AGENCIES","","","shivagencies.toys@gmail.com","9829096599","","","","",
"54","SHRI RAM ENTERPRISE","","","shriram.rajkot@gmail.com","9825710033","","","","",
"55","DEEPAK Enterprises","","","dpkenterprise@rediffmail.com","9329134001","","","","",
"56","VIJAY SALES","","","vijaysales@sify.com","9425469169","","","","",
"57","KIDS ZONE","","","kidszonejdp@yahoo.in","9414135762","","","","",
"58","SHIVAM","","","santoshkkapoor@gmail.com","9918994433","","","","",
"59","SINGHANIA SALES","","","singhania.adarsh@gmail.com","657","","","","",
"60","Deshraj Trading","32","Mr. S. Saha","deshrajtrading@gmail.com","9957198288","1969-12-31","Guwhati","Guwhati","377466",
