"distributor","name","area","city","quantity","amount",
"BABA SALES","Arjundas Gagandas Kartari. (Big Bunny).","Vileparle - East & West","Mumbai","225","88275",
"BABA SALES","Noorie Toy Land","Vileparle - East & West","Mumbai","121","46211",
"SHUBHI  TOYS","LEO TOYS","Gurgaon - 1","Gurgaon","1728","517860",
"SOUMYA INTERNATIONAL","kidsland","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","New Delhi","760","284360",
"SOUMYA INTERNATIONAL","kiddy land pvt.ltd","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","New Delhi","324","115812",
"SOUMYA INTERNATIONAL","Baby walker","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","New Delhi","972","323028",
"SOUMYA INTERNATIONAL","Pram service staton (In&Out Bharat)","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","New Delhi","99","35901",
"SOUMYA INTERNATIONAL","Smiles The Gift Shop","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","New Delhi","567","191142",
"EQUATOR TRADE HOUSE","words & worths books p ltd","THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","Chennai","1365","310317",
"EQUATOR TRADE HOUSE","Connexions (Annanager)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","2556","758772",
"EQUATOR TRADE HOUSE","Connexions (Coimbatore)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","1032","323304",
"EQUATOR TRADE HOUSE","Connexions (saligramam)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","1612","458242",
"EQUATOR TRADE HOUSE","Connexions (velachery)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","1824","548256",
"EQUATOR TRADE HOUSE","Connexions (salem)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","132","39600",
"EQUATOR TRADE HOUSE","Connexions (Adyar)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","598","168912",
"EQUATOR TRADE HOUSE","Connexions (Ashok nager)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","99","26451",
"EQUATOR TRADE HOUSE","Connexions (mogappair)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","272","78864",
"EQUATOR TRADE HOUSE","Connexions (infosys shollinganallur)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","9","2097",
"EQUATOR TRADE HOUSE","Connexions (mahindra infosys)","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","Chennai","9","2619",
"Pragathi Marketing","The Olive","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","Bangalore","224","59948",
"Pragathi Marketing","Toy World","Indranagar / Thippsandra / Commercial St.","Bangalore","676","177788",
"V S International","success","NAVI MUMBAI","Mumbai","256","70592",
"SANJARI ENTERPRISES","Manoj Stores","BREACH CANDY","Mumbai","231","71841",
"SANJARI ENTERPRISES","Kamdhenu","BREACH CANDY","Mumbai","324","125676",
"SANJARI ENTERPRISES","Komal Collection","BREACH CANDY","Mumbai","100","32280",
"SWAYAM ENTERPRISES","Anupam Stationery superstore pvt. ltd. (moksh)","Borivali - East & West","Mumbai","1280","378912",
"SWAYAM ENTERPRISES","Anupam stationery superstore pvt.ltd.","Borivali - East & West","Mumbai","600","156160",
"SWAYAM ENTERPRISES","Gora Gandhi sports & toys.","Borivali - East & West","Mumbai","4","2596",
"SWAYAM ENTERPRISES","Art Station .","Andheri West","Mumbai","312","58728",
"SWAYAM ENTERPRISES","Shakti Collection.","Andheri West","Mumbai","100","23580",
"Toyotoyz","Prabhat Gift Centre","DADAR WEST","Mumbai","529","166451",
"Toyotoyz","Good Luck Gift Gallery","DADAR WEST","Mumbai","49","18655",
"Toyotoyz","Rushabh collection","DADAR WEST","Mumbai","169","51753",
"Toyotoyz","Maharashtra Collection","DADAR WEST","Mumbai","324","80406",
"CHAMUNDA GOGA SALES","sky blue","Satellite/ Jodpur","Ahmedabad","144","41688",
"CHAMUNDA GOGA SALES","mama love","Naranpura","Ahmedabad","36","7212",
"CHAMUNDA GOGA SALES","meeta xerox & gift","Naranpura","Ahmedabad","24","6976",
