"id","code","name","mrp","quantity","amount",
"1","","MINI - CARS","185","1","185",
"4","","M'TEK - POWERED","599","3","1797",
"6","","FUSE IN - S4","249","2","498",
"7","","PIPED MUSIC BAND","299","3","897",
"8","","AWESOME STRAWSOME","299","2","598",
"9","","FUSE IN","185","1","185",
"10","","GLASS PAINTING CANDLE KIT","399","35","13566",
"11","","CANDLES FROM DESIGNER POT","399","6","2394",
"12","","CANDLES FROM PRETTY POT","299","34","10166",
"13","","CANDLES FROM SPARKLING POT POURRIE","349","27","9423",
"14","","GELWAX CANDLES - AQUARIA","299","42","12558",
"15","","GLASS PAINTED CANDLE GOBLETS","399","32","12768",
"16","","SAND ART FESTIVE CANDLE POTS","199","33","6567",
"17","","Balveer & The Evils Of Bhayankar Pari","549","1","249",
"18","","Foto Memo","399","4","1522",
"19","","Joy Ride","399","1","185",
"20","","PANCHO","599","2","848",
"21","","CLAY N PLAY - CUT OUT MODELS","325","1","325",
"22","","WHAT'S YOURS LIKE?","499","1","185",
"23","","Eskimemo","599","3","2691",
"27","","Love It - Hate It","599","1","599",
"28","","Safarikiki","399","1","399",
"37","","SAND ART RANGOLI","299","28","8372",
"39","","DIWALI DHAMAKA","549","14","7686",
"40","","GO ARTY WITH GANESHA","399","1","399",
"41","","HOBBY WITH HOLY GANESHA","399","1","399",
"42","","SAND ART FESTIVE RANGOLI","199","19","3781",
"44","","CERAMIC ART - PLATES","499","7","3493",
"45","","EMBOSSED CERAMIC TILE ART","499","2","998",
"46","","GLASS PAINTING DESIGNER COASTERS","399","3","1197",
"64","","SHADOW THEATRE","299","1","299",
"83","","MAGNETIC TANGRAM","499","6","2994",
"84","","PENTOMINOES","299","5","1495",
"102","","MOSIACS MINIS - AT THE FARM","249","2","498",
"104","","MOSAICS MINIS - UNDER THE SEA","249","3","747",
"105","","ORIGAMI - UNDER SEA WORLD","249","7","1743",
"106","","ORIGAMI FASHION STUDIO","275","11","3025",
"107","","AN OMNI BOX OF ORIGAMI OFFERINGS","249","5","1245",
"108","","ORIGAMI - FLORAL FIESTA","249","13","3237",
"109","","ORIGAMI - IN THE JUNGLE","249","13","3237",
"110","","FINGER PAINTING KIT","325","7","2275",
"111","","FINGER PAINTING WITH LITTLE FINGERS","249","4","996",
"112","","FINGER PAINTING KIT 2","325","6","1950",
"113","","MASK PARADE","299","7","2093",
"114","","PARTY FUN MASKS","299","5","1495",
"115","","GETTING STARTED WITH FINGER PAINTING","325","6","1950",
"116","","CRAFTED COASTERS","375","1","375",
"117","","CREATE A REAL CLOCK","299","24","7176",
"118","","BAG THE GIFTS","449","4","1796",
"119","","GROOVY GREETING CARDS","399","2","798",
"121","","FOOLED & FLOORED BY FLORALS","399","11","4389",
"122","","MAKE IT PAPIER MACHE","375","1","375",
"123","","SUPER SCRAP BOOKER","299","3","897",
"124","","PRETTY PRESENTATIONS","299","1","299",
"125","","PAPER QUILLING","275","34","9350",
"126","","PAPER QUILLING - PENCIL TOPS","299","5","1495",
"127","","PAPER QUILLED - CARDS","125","30","3750",
"128","","PAPER QUILLING - WRIST BANDS","199","11","2189",
