"id","productname","product","encode","name2","productcode","category","video","mrp","description","age","scheme","isnew","timestamp","categoryname","schemename",
"1","MINI - CARS","","","","39371","25","","185","This is another entry-level construction kit for making any one out of 4 models of 4-wheelers. The components in the set also include a spanner cum screwdriver and also a mounting base to display the finished model Models which can be made from this set are - Sports or Racer Cars or Sand Buggy or F1 Racers.ContentsBUGGY – 53 Parts; RACER CAR – 47 Parts; SAND BUGGY – 75 Parts; FORMULA RACER – 54 Parts","","3","0","2014-10-13 04:08:59","100 to 250","Below MRP - 200",
"2","MINI - FLYING MACHINES","","","","39370","25","","185","This series consists of kits for making any one of the four different aircraft - airplane, glider, bi-plane and a helicopter. A young, avid aero-modeler will enjoy constructing his favourite flying machine It can also showcase the finished model on the mounting plate provided in the kit.ContentsHELICOPTER – 68 Parts; BI-PLANE – 79 Parts; GLIDER – 57 Parts; TWIN ENGINE PLANE – 75 Parts","","3","0","2014-10-13 04:10:02","100 to 250","Below MRP - 200",
"3","MINI - OFF ROADERS","","","","39372","25","","185","These are entry-level metal construction hobby kits for making 2-3 wheelersThe hobbyist can make a Thunder Bike or a Moped or a Trike or a Classic. This economically priced set also contains a mounting base enabling the constructor to display the finished model.ContentsCLASSIC – 72 Parts, THUNDER – 85 Parts, MOPED – 79 Parts, TRIKE – 53   Parts","","3","0","2014-10-13 04:10:43","100 to 250","Below MRP - 200",
"4","M'TEK - POWERED","","","","39375","25","","599","Get into gear to empower popular vehicles ranging from Hatch-backs, Sedans, Luxury cars, Multi-utility and Sports Utility Vehicles (SUVs), Sand buggies and even Racer cars.This Powered Set also enables one to make Engineering and Emergency vehicles such as Cranes, Tow-trucks & Pick-ups, Trucks & Trailers, Fire-engines, Dumpers…etc. The kit comes complete with a mountable motor and control unit for powering the vehiclesAlso included is an educational book on the vehicles with step-by-step diagrams to construct them.All the models can also be operated without the motor.Contents146 parts; 24 page comprehensive book-cum-instruction manual: Stick Remote: Battery Attachment","","","0","2014-10-04 07:09:26","100 to 250","",
"5","M'TEK - CRANES","","","","39380","26","","1250","The most striking features of a Crane are the diversity of the actions that device performs (mainly lifting and delivering) over a large area.
All the components and parts – pulleys, beams, gears, ropes and cables, hoists, rails and others used to construct the actual cranes are provided with miniaturization ( there are 306 parts in all and each model is still 2 feet in size!).
To top it, there is a detailed instruction book with illustrations which will aid the avid hobbyist in the construction of actual functional cranes.
This kit is a unique compilation in which the metal construction enthusiast is provided with an absolute treat in constructing a diverse range of cranes.
The ever popular Tower Crane, Gantry, Dockside, Container, Level Luffing and Rail mounted Cranes can be assembled using the components provided in this mind-blowing kit!

Contents
9 Models; 306 PARTS","","","","2014-09-11 10:57:55","250 & above","",
"6","FUSE IN - S4","","","","39440","14","","249","Fusein- S4 is a creative hobby craft using  coloured beads and  four pegboards of different shapes. One can  make attractive and  colourful mosaic designs, animal faces, butterflies, pendants ,Christmas décor , wall-hangings and much more.A comprehensive instruction book is also included which portrays along with detailed methodology the bead combinations for making these designs.The completed designs of the fused beads can be showcased on stands provided, as wall hangings or incorporated into wind-chimes. They can also be  used as design décor for personalized greeting cards and gift boxes or as elements  in diorama for school  projects.Contents:Beads: 8 coloursPeg boards: 4 shapesStands : 4 pairsButter papers: 4Illustrated book","","","0","2014-10-04 07:11:58","Beads & Straw","",
"7","PIPED MUSIC BAND","","","","39565","14","","299","This kit comes as music to the ears of hobby enthusiasts who can give expression to their innovative ideas.It comprises a set of ingenious connectors and brightly coloured, durable plastic straws to aid in creative building of a multitude of characters.While creating these figures, kids get an eye-hand co-ordination work-out and learn the basic principles of balance and symmetry.It is a fantastic learning aid for understanding shape concepts and translating them to a 3rd dimension.The connectors allow 2 modes of connectivity across the protruding arms - for 1 to 8 straws and through the connector cavity for 1 single straw.The straws can also be cut to various lengths, opening up even more interesting and different avenues.ContentsStraws: 80 pcs; Connectors: 225 pcs mounted on 15 rings; Instruction manual","","","1","2014-10-04 07:10:39","Beads & Straw","",
"8","AWESOME STRAWSOME","","","","39444","14","","299","This kit offers infinite construction possibilities using tubular straws and connectors.It is a great learning aid for understanding shapes and 3-dimensional objects.The connectors offer myriad networking options due to their unique dimensions.The straws are provided in 8 colours and can also be cut to offer even more interesting possibilities.So, go ahead and make vehicles like car, bike, helicopter, airplane, ship, etc.ContentsStraws: 120 pcs; Connectors: 120 pcs; Instruction manual","","","0","2014-10-04 07:03:28","Beads & Straw","",
"9","FUSE IN","","","","39425","14","","185","FUSE-IN is a creative hobby product using coloured beads to create attractive designs of objects, animals etc. in bead mosaic form. With 'Fuse-In' children can learn to reproduce patterns and also create their own. Using the pegboards and the wide spectrum of coloured beads provided in the kit the child's imagination can run riot. The catalog shows some of the many designs and pictures, which can be generated. Once the pattern is complete, a household iron can be used to fuse the beads to form a permanent design.  Contents:Beads : 8 colours Pegboards: 2 shapesStands: 2 pairsButter paper: 2Illustrated book","","","0","2014-10-04 07:11:45","Beads & Straw","",
"10","GLASS PAINTING CANDLE KIT","","","","39479","18","","399","Glass painting can transform the look of Candle pots like never before.
Glass painted candle pots when lit, give a fantastic effect on the walls of a dimly lit room.
They are also great gifts especially during celebrations or festive occasions.
When a glass candle is painted with pigments especially suitable for this surface, the see-through colours come out best from the transparent surface.
Before using the colours, one has to use the 3D outliner tube for outlining the design or motif to be painted. The inset areas in the design can then be painted with the glass-painting colours.
The painted tumblers are then filled with wicks and molten wax to complete the art activity.



Contents
Glass tumblers:  3; Candle wax flakes: 1 Sachet; Wicks: 5; Glass Paints: 3 colours; Brush:  1;
Glass 3-D Outliner tube: 1; Instruction manual","","","","2014-09-11 10:57:55","Candles","",
