"id","name","number","email","address","lat","long","area","dob","sq_feet","store_image","ownername","ownernumber","contactname","contactnumber",
"2","success","27526660","meetrajput1234@gmail.com","NRI COMPLEX, SHOP NO.8, SEAWOOD ESTATE, SECTOR 58 NERUL NAVI MUMBAI","0","0","Seawoods","1989-06-01","500","","Jaimal","89765","Bharat","9167436068",
"7","Anupam Stationery superstore pvt. ltd. (moksh)","02228998880","info@anupam.net.in","31, moksh plaza, S.V. road, near railway station, borivali (w), Mumbai.","0","0","Borivali - East & West","0000-00-00","12000","image17.jpg","Ramnik gala","","Mr. Bhavar","9167212081",
"8","Little wonder toys & sports .","02228999945","littliwonder.3102@gmail.com","Shraddha shopping center, s.V. road, opp. Indraprastha, borivali (w), mumbai","0","0","Borivali - East & West","1984-07-14","0","","Mr. Jigar","9867222378","Mr.Rajesh","9320540766",
"9","Anupam stationery superstore pvt.ltd.","02228330303","info@anupam.net.in","Sai shopping mall, opp. Railway station, borivali (w), Mumbai.","0","0","Borivali - East & West","0000-00-00","1000","image19.jpg","Ramnikbhai gala","9820059190","Mr. Sampat","9769774492",
"10","Odyssey","24402264","","Odyssey Towers no 45&47,first main road, Gandhi Hager,Adayar,Chennai","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0000-00-00","1000","","","","","",
"11","Gora Gandhi sports & toys.","02228938439","devisinghpurohit09@gmail.com","Shop no. 17, Goragandhi apartment, s.v.p. Road, borivali (w), Mumbai.","0","0","Borivali - East & West","0000-00-00","400","","Devi singh purohit","9869113689","Mr. Gulabbhai","9619698012",
"12","kidsland","","","K block Kalkaji","0","0","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","2014-09-29","125","","","","","",
"14","Parshavi collection","02228992332","dreambalcan@gmail.com","8, Mayekar shopping center, opp. Diamond talkies, l.T . road, borivali(w), Mumbai.","0","0","Borivali - East & West","1977-12-13","350","","Mr. Jigarbhai","","Mr. Jigarbhai.","9820134001",
"25","words & worths books p ltd","24468659","wordsnworths@gmail.com","E 28 second avenue Besantnager","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0000-00-00","500","","Ansari","9710036383","sadham","9710036383",
"26","Asian General Store","24184790","asian_store@ymail.com","807,Imperial Mahal,khodadad circle,Dr. Ambedkar Road,radar t t,mumbai","0","0","DADAR EAST","1964-10-25","450","","kishor","9820615970","ankit","9967618101",
"28","toy junction","25459599","toyjunction@gmail.com","406/4m,1st floor, s.r.v.plaza,Kammanahalli main road, kalyananagar, bangalore","0","0","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","1985-10-02","2200","image32.jpg","madhusudhan","9379155599","madhu","9379955599",
"30","kiddy land pvt.ltd","26212956","","C/20-21Amarcolony lajpat ngr new delhi","0","0","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0000-00-00","150","image34.jpg","mrs. sandhya","9810766566","mr. Ram","9810866566",
